context,question,answer,pasal,ayat
ketentuan umum,Apa jenis perguruan tinggi yang dimiliki oleh Pemerintah?,"UPN ""Veteran"" Jawa Timur merupakan Perguruan Tinggi Negeri.",1,1
ketentuan umum,"Apa yang dimaksud dengan Rektor dalam konteks UPN ""Veteran"" Jawa Timur?","Rektor adalah organ UPN ""Veteran"" Jawa Timur yang memimpin penyelenggaraan dan pengelolaan UPN ""Veteran"" Jawa Timur.",1,2
ketentuan umum,"Apa tugas utama Rektor dalam penyelenggaraan dan pengelolaan UPN ""Veteran"" Jawa Timur?","Tugas utama Rektor adalah memimpin penyelenggaraan dan pengelolaan UPN ""Veteran"" Jawa Timur.",1,2
ketentuan umum,"Apa peran utama yang dimainkan oleh Senat dalam UPN ""Veteran"" Jawa Timur?","Senat menetapkan kebijakan, memberikan pertimbangan, dan melakukan pengawasan di bidang akademik.",1,3
ketentuan umum,Siapa yang merupakan pimpinan fakultas?,Dekan adalah pimpinan fakultas.,1,4
ketentuan umum,Apa tugas utama dekan dalam penyelenggaraan pendidikan di masing-masing fakultas?,Dekan berwenang dan bertanggung jawab terhadap penyelenggaraan pendidikan di masing-masing fakultas.,1,4
ketentuan umum,Apakah fakultas merupakan himpunan sumber daya pendukung?,"Ya, fakultas adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik dalam satu rumpun disiplin ilmu pengetahuan -teknologi, humaniora, dan seni.",1,5
ketentuan umum,"Apa yang dikategorikan sebagai rumpun disiplin ilmu pengetahuan -teknologi, humaniora, dan seni?","Rumpun disiplin ilmu pengetahuan -teknologi, humaniora, dan seni adalah bidang-bidang akademik yang dipelajari dalam suatu fakultas.",1,5
ketentuan umum,Apakah definisi dari jurusan menurut konteks ini?,"Jurusan adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik dalam satu bidang ilmu pengetahuan, teknologi, humaniora, dan seni.",1,6
ketentuan umum,Apakah tujuan utama dari keberadaan jurusan di institusi pendidikan?,"Jurusan tersebut menyelenggarakan dan mengelola pendidikan akademik dalam satu bidang ilmu pengetahuan, teknologi, humaniora, dan seni.",1,6
ketentuan umum,Apa yang dimaksud dengan program studi?,"Program studi adalah kesatuan kegiatan pendidikan dan pembelajaran yang memiliki kurikulum dan metode pembelajaran tertentu dalam satu jenis pendidikan akademik dan/ atau pendidikan profesi.

Context: ketentuan umum",1,7
